TestsAffected, AS, LocationCode, Start, End, URL
19, AS39330, eu, 2012-01-01, 2018-04-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS39330&start=2011-01-01&end=2018-04-01
19, AS52660, sa, 2015-05-01, 2017-08-01, https://viz.measurementlab.net/location/sa?aggr=month&isps=AS52660&start=2014-05-01&end=2017-08-01
19, AS7029, nausgamanchester, 2012-04-01, 2017-02-01, https://viz.measurementlab.net/location/nausgamanchester?aggr=month&isps=AS7029&start=2011-04-01&end=2017-02-01
20, AS11398x, nausncchocowinity, 2012-05-01, 2017-09-01, https://viz.measurementlab.net/location/nausncchocowinity?aggr=month&isps=AS11398x&start=2011-05-01&end=2017-09-01
20, AS19817, nauscaanaheim, 2012-05-01, 2017-08-01, https://viz.measurementlab.net/location/nauscaanaheim?aggr=month&isps=AS19817&start=2011-05-01&end=2017-08-01
20, AS199296, eu, 2017-01-01, 2019-02-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS199296&start=2016-01-01&end=2019-02-01
20, AS20633, eu, 2014-04-01, 2018-01-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS20633&start=2013-04-01&end=2018-01-01
20, AS25533, euua12kiev, 2013-08-01, 2017-02-01, https://viz.measurementlab.net/location/euua12kiev?aggr=month&isps=AS25533&start=2012-08-01&end=2017-02-01
20, AS34560, eu, 2015-08-01, 2018-04-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS34560&start=2014-08-01&end=2018-04-01
20, AS37385, af, 2014-03-01, 2018-06-01, https://viz.measurementlab.net/location/af?aggr=month&isps=AS37385&start=2013-03-01&end=2018-06-01
20, AS41588, euua, 2016-08-01, 2018-06-01, https://viz.measurementlab.net/location/euua?aggr=month&isps=AS41588&start=2015-08-01&end=2018-06-01
20, AS52991, sa, 2014-01-01, 2017-10-01, https://viz.measurementlab.net/location/sa?aggr=month&isps=AS52991&start=2013-01-01&end=2017-10-01
20, AS7029, nausgamanchester, 2012-02-01, 2016-09-01, https://viz.measurementlab.net/location/nausgamanchester?aggr=month&isps=AS7029&start=2011-02-01&end=2016-09-01
20, AS8036, nausok, 2011-09-01, 2014-07-01, https://viz.measurementlab.net/location/nausok?aggr=month&isps=AS8036&start=2010-09-01&end=2014-07-01
20, AS8508, eupl, 2014-04-01, 2016-06-01, https://viz.measurementlab.net/location/eupl?aggr=month&isps=AS8508&start=2013-04-01&end=2016-06-01
20, AS8663, euru, 2013-06-01, 2017-01-01, https://viz.measurementlab.net/location/euru?aggr=month&isps=AS8663&start=2012-06-01&end=2017-01-01
21, AS10774x, nausmdsilverspring, 2012-12-01, 2016-06-01, https://viz.measurementlab.net/location/nausmdsilverspring?aggr=month&isps=AS10774x&start=2011-12-01&end=2016-06-01
21, AS15527, eufi15vähäkyrö, 2011-07-01, 2017-01-01, https://viz.measurementlab.net/location/eufi15vähäkyrö?aggr=month&isps=AS15527&start=2010-07-01&end=2017-01-01
21, AS31444, euru, 2015-10-01, 2019-03-01, https://viz.measurementlab.net/location/euru?aggr=month&isps=AS31444&start=2014-10-01&end=2019-03-01
21, AS33484, naus, 2012-12-01, 2016-10-01, https://viz.measurementlab.net/location/naus?aggr=month&isps=AS33484&start=2011-12-01&end=2016-10-01
21, AS42087, eu, 2013-09-01, 2017-04-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS42087&start=2012-09-01&end=2017-04-01
21, AS49255, euru, 2013-07-01, 2018-03-01, https://viz.measurementlab.net/location/euru?aggr=month&isps=AS49255&start=2012-07-01&end=2018-03-01
21, AS53352, naus, 2012-04-01, 2016-06-01, https://viz.measurementlab.net/location/naus?aggr=month&isps=AS53352&start=2011-04-01&end=2016-06-01
21, AS56828, euno, 2013-12-01, 2017-04-01, https://viz.measurementlab.net/location/euno?aggr=month&isps=AS56828&start=2012-12-01&end=2017-04-01
21, AS5692, saar, 2015-08-01, 2017-03-01, https://viz.measurementlab.net/location/saar?aggr=month&isps=AS5692&start=2014-08-01&end=2017-03-01
21, AS8508, eu, 2013-12-01, 2016-06-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS8508&start=2012-12-01&end=2016-06-01
22, AS11995, nausor, 2013-04-01, 2016-03-01, https://viz.measurementlab.net/location/nausor?aggr=month&isps=AS11995&start=2012-04-01&end=2016-03-01
22, AS12941, eu, 2012-04-01, 2017-05-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS12941&start=2011-04-01&end=2017-05-01
22, AS132061, asth38, 2014-08-01, 2016-02-01, https://viz.measurementlab.net/location/asth38?aggr=month&isps=AS132061&start=2013-08-01&end=2016-02-01
22, AS13367x, nauswvwinfield, 2011-08-01, 2015-02-01, https://viz.measurementlab.net/location/nauswvwinfield?aggr=month&isps=AS13367x&start=2010-08-01&end=2015-02-01
22, AS203825, eudk, 2015-04-01, 2017-06-01, https://viz.measurementlab.net/location/eudk?aggr=month&isps=AS203825&start=2014-04-01&end=2017-06-01
22, AS26127x, nauscacalimesa, 2012-12-01, 2016-09-01, https://viz.measurementlab.net/location/nauscacalimesa?aggr=month&isps=AS26127x&start=2011-12-01&end=2016-09-01
22, AS27934, sa, 2015-04-01, 2018-06-01, https://viz.measurementlab.net/location/sa?aggr=month&isps=AS27934&start=2014-04-01&end=2018-06-01
22, AS2904, namx, 2015-02-01, 2018-05-01, https://viz.measurementlab.net/location/namx?aggr=month&isps=AS2904&start=2014-02-01&end=2018-05-01
22, AS47187, eu, 2013-09-01, 2016-09-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS47187&start=2012-09-01&end=2016-09-01
22, AS51190, euru, 2015-04-01, 2019-04-01, https://viz.measurementlab.net/location/euru?aggr=month&isps=AS51190&start=2014-04-01&end=2019-04-01
22, AS6389, nausncrockypoint, 2012-07-01, 2018-07-01, https://viz.measurementlab.net/location/nausncrockypoint?aggr=month&isps=AS6389&start=2011-07-01&end=2018-07-01
22, AS9121, eutr48, 2013-07-01, 2017-02-01, https://viz.measurementlab.net/location/eutr48?aggr=month&isps=AS9121&start=2012-07-01&end=2017-02-01
23, AS13243, euno, 2013-12-01, 2018-11-01, https://viz.measurementlab.net/location/euno?aggr=month&isps=AS13243&start=2012-12-01&end=2018-11-01
23, AS13977, nausvtcolchester, 2012-04-01, 2016-08-01, https://viz.measurementlab.net/location/nausvtcolchester?aggr=month&isps=AS13977&start=2011-04-01&end=2016-08-01
23, AS14477, nausnytrumansburg, 2013-07-01, 2016-02-01, https://viz.measurementlab.net/location/nausnytrumansburg?aggr=month&isps=AS14477&start=2012-07-01&end=2016-02-01
23, AS14661, naca, 2013-06-01, 2015-05-01, https://viz.measurementlab.net/location/naca?aggr=month&isps=AS14661&start=2012-06-01&end=2015-05-01
23, AS15770, eugb, 2012-08-01, 2015-05-01, https://viz.measurementlab.net/location/eugb?aggr=month&isps=AS15770&start=2011-08-01&end=2015-05-01
23, AS1712, eufr, 2014-02-01, 2019-04-01, https://viz.measurementlab.net/location/eufr?aggr=month&isps=AS1712&start=2013-02-01&end=2019-04-01
23, AS197294, eupl, 2015-09-01, 2018-04-01, https://viz.measurementlab.net/location/eupl?aggr=month&isps=AS197294&start=2014-09-01&end=2018-04-01
23, AS20115, nausalalbertville, 2013-11-01, 2016-03-01, https://viz.measurementlab.net/location/nausalalbertville?aggr=month&isps=AS20115&start=2012-11-01&end=2016-03-01
23, AS25250, afgm, 2016-05-01, 2018-06-01, https://viz.measurementlab.net/location/afgm?aggr=month&isps=AS25250&start=2015-05-01&end=2018-06-01
23, AS28891, euru, 2016-09-01, 2018-07-01, https://viz.measurementlab.net/location/euru?aggr=month&isps=AS28891&start=2015-09-01&end=2018-07-01
23, AS30174, nausks, 2012-03-01, 2015-05-01, https://viz.measurementlab.net/location/nausks?aggr=month&isps=AS30174&start=2011-03-01&end=2015-05-01
23, AS42484, euru, 2014-06-01, 2017-02-01, https://viz.measurementlab.net/location/euru?aggr=month&isps=AS42484&start=2013-06-01&end=2017-02-01
23, AS47873, eu, 2014-03-01, 2018-09-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS47873&start=2013-03-01&end=2018-09-01
23, AS4913, na, 2014-05-01, 2016-01-01, https://viz.measurementlab.net/location/na?aggr=month&isps=AS4913&start=2013-05-01&end=2016-01-01
23, AS58736, asbd, 2016-09-01, 2018-06-01, https://viz.measurementlab.net/location/asbd?aggr=month&isps=AS58736&start=2015-09-01&end=2018-06-01
23, AS6389, nauskywilliamsburg, 2012-09-01, 2018-07-01, https://viz.measurementlab.net/location/nauskywilliamsburg?aggr=month&isps=AS6389&start=2011-09-01&end=2018-07-01
23, AS9103, eupl, 2016-10-01, 2019-04-01, https://viz.measurementlab.net/location/eupl?aggr=month&isps=AS9103&start=2015-10-01&end=2019-04-01
24, AS13367x, nauscofrisco, 2012-06-01, 2015-06-01, https://viz.measurementlab.net/location/nauscofrisco?aggr=month&isps=AS13367x&start=2011-06-01&end=2015-06-01
24, AS14686, naus, 2012-07-01, 2014-10-01, https://viz.measurementlab.net/location/naus?aggr=month&isps=AS14686&start=2011-07-01&end=2014-10-01
24, AS16181, eu, 2013-10-01, 2017-02-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS16181&start=2012-10-01&end=2017-02-01
24, AS17444, as, 2016-03-01, 2019-03-01, https://viz.measurementlab.net/location/as?aggr=month&isps=AS17444&start=2015-03-01&end=2019-03-01
24, AS199836, asir, 2012-03-01, 2016-02-01, https://viz.measurementlab.net/location/asir?aggr=month&isps=AS199836&start=2011-03-01&end=2016-02-01
24, AS23207, nauslabatonrouge, 2016-09-01, 2019-03-01, https://viz.measurementlab.net/location/nauslabatonrouge?aggr=month&isps=AS23207&start=2015-09-01&end=2019-03-01
24, AS27928, napa, 2011-09-01, 2017-03-01, https://viz.measurementlab.net/location/napa?aggr=month&isps=AS27928&start=2010-09-01&end=2017-03-01
24, AS32315, nacaon, 2012-11-01, 2016-05-01, https://viz.measurementlab.net/location/nacaon?aggr=month&isps=AS32315&start=2011-11-01&end=2016-05-01
24, AS3292, euno14stavanger, 2013-11-01, 2017-04-01, https://viz.measurementlab.net/location/euno14stavanger?aggr=month&isps=AS3292&start=2012-11-01&end=2017-04-01
24, AS4181, nausms, 2012-01-01, 2016-03-01, https://viz.measurementlab.net/location/nausms?aggr=month&isps=AS4181&start=2011-01-01&end=2016-03-01
24, AS43244, eupl, 2017-02-01, 2019-04-01, https://viz.measurementlab.net/location/eupl?aggr=month&isps=AS43244&start=2016-02-01&end=2019-04-01
24, AS50962, eult, 2015-12-01, 2019-03-01, https://viz.measurementlab.net/location/eult?aggr=month&isps=AS50962&start=2014-12-01&end=2019-03-01
24, AS52281, sa, 2013-08-01, 2018-03-01, https://viz.measurementlab.net/location/sa?aggr=month&isps=AS52281&start=2012-08-01&end=2018-03-01
24, AS53269, nausil, 2012-10-01, 2016-06-01, https://viz.measurementlab.net/location/nausil?aggr=month&isps=AS53269&start=2011-10-01&end=2016-06-01
24, AS54294, nausny, 2013-02-01, 2017-02-01, https://viz.measurementlab.net/location/nausny?aggr=month&isps=AS54294&start=2012-02-01&end=2017-02-01
24, AS57820, euru, 2015-02-01, 2018-11-01, https://viz.measurementlab.net/location/euru?aggr=month&isps=AS57820&start=2014-02-01&end=2018-11-01
24, AS693, nausinnotredame, 2012-07-01, 2015-04-01, https://viz.measurementlab.net/location/nausinnotredame?aggr=month&isps=AS693&start=2011-07-01&end=2015-04-01
25, AS10774x, naustxwoodville, 2011-12-01, 2013-07-01, https://viz.measurementlab.net/location/naustxwoodville?aggr=month&isps=AS10774x&start=2010-12-01&end=2013-07-01
25, AS11486x, nausnyoneida, 2012-08-01, 2016-07-01, https://viz.measurementlab.net/location/nausnyoneida?aggr=month&isps=AS11486x&start=2011-08-01&end=2016-07-01
25, AS1715, eufr, 2012-04-01, 2019-03-01, https://viz.measurementlab.net/location/eufr?aggr=month&isps=AS1715&start=2011-04-01&end=2019-03-01
25, AS17633, ascn, 2014-07-01, 2018-04-01, https://viz.measurementlab.net/location/ascn?aggr=month&isps=AS17633&start=2013-07-01&end=2018-04-01
25, AS197263, euua, 2014-06-01, 2016-10-01, https://viz.measurementlab.net/location/euua?aggr=month&isps=AS197263&start=2013-06-01&end=2016-10-01
25, AS199370, eugr, 2016-01-01, 2019-02-01, https://viz.measurementlab.net/location/eugr?aggr=month&isps=AS199370&start=2015-01-01&end=2019-02-01
25, AS201135, eu, 2017-12-01, 2019-02-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS201135&start=2016-12-01&end=2019-02-01
25, AS20135, naustxfortworth, 2012-08-01, 2016-09-01, https://viz.measurementlab.net/location/naustxfortworth?aggr=month&isps=AS20135&start=2011-08-01&end=2016-09-01
25, AS262191, saco, 2015-09-01, 2018-06-01, https://viz.measurementlab.net/location/saco?aggr=month&isps=AS262191&start=2014-09-01&end=2018-06-01
25, AS30767, eu, 2012-12-01, 2018-04-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS30767&start=2011-12-01&end=2018-04-01
25, AS34397, as, 2013-10-01, 2016-07-01, https://viz.measurementlab.net/location/as?aggr=month&isps=AS34397&start=2012-10-01&end=2016-07-01
25, AS34878, eude, 2011-10-01, 2013-08-01, https://viz.measurementlab.net/location/eude?aggr=month&isps=AS34878&start=2010-10-01&end=2013-08-01
25, AS38148, asid, 2016-09-01, 2018-11-01, https://viz.measurementlab.net/location/asid?aggr=month&isps=AS38148&start=2015-09-01&end=2018-11-01
25, AS40284, naus, 2012-08-01, 2016-09-01, https://viz.measurementlab.net/location/naus?aggr=month&isps=AS40284&start=2011-08-01&end=2016-09-01
25, AS47873, eu, 2013-07-01, 2017-02-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS47873&start=2012-07-01&end=2017-02-01
25, AS48207, eu, 2016-10-01, 2019-03-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS48207&start=2015-10-01&end=2019-03-01
25, AS48506, eu, 2014-04-01, 2017-07-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS48506&start=2013-04-01&end=2017-07-01
25, AS53832, na, 2012-10-01, 2015-01-01, https://viz.measurementlab.net/location/na?aggr=month&isps=AS53832&start=2011-10-01&end=2015-01-01
25, AS56833, eu, 2013-06-01, 2016-05-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS56833&start=2012-06-01&end=2016-05-01
25, AS6389, nausmsnewalbany, 2013-01-01, 2016-12-01, https://viz.measurementlab.net/location/nausmsnewalbany?aggr=month&isps=AS6389&start=2012-01-01&end=2016-12-01
25, AS6863, euru, 2012-02-01, 2015-06-01, https://viz.measurementlab.net/location/euru?aggr=month&isps=AS6863&start=2011-02-01&end=2015-06-01
25, AS8286, eupl, 2016-08-01, 2018-12-01, https://viz.measurementlab.net/location/eupl?aggr=month&isps=AS8286&start=2015-08-01&end=2018-12-01
26, AS10774x, nauslatickfaw, 2012-01-01, 2017-11-01, https://viz.measurementlab.net/location/nauslatickfaw?aggr=month&isps=AS10774x&start=2011-01-01&end=2017-11-01
26, AS10796x, naustxrobstown, 2012-08-01, 2016-01-01, https://viz.measurementlab.net/location/naustxrobstown?aggr=month&isps=AS10796x&start=2011-08-01&end=2016-01-01
26, AS11525, nausinwilkinson, 2011-10-01, 2019-02-01, https://viz.measurementlab.net/location/nausinwilkinson?aggr=month&isps=AS11525&start=2010-10-01&end=2019-02-01
26, AS13367x, nauscodillon, 2012-07-01, 2016-02-01, https://viz.measurementlab.net/location/nauscodillon?aggr=month&isps=AS13367x&start=2011-07-01&end=2016-02-01
26, AS14686, na, 2011-11-01, 2015-01-01, https://viz.measurementlab.net/location/na?aggr=month&isps=AS14686&start=2010-11-01&end=2015-01-01
26, AS16863, naussccross, 2013-06-01, 2016-01-01, https://viz.measurementlab.net/location/naussccross?aggr=month&isps=AS16863&start=2012-06-01&end=2016-01-01
26, AS197624, euru, 2015-06-01, 2018-12-01, https://viz.measurementlab.net/location/euru?aggr=month&isps=AS197624&start=2014-06-01&end=2018-12-01
26, AS199513, euro, 2016-11-01, 2019-01-01, https://viz.measurementlab.net/location/euro?aggr=month&isps=AS199513&start=2015-11-01&end=2019-01-01
26, AS22128, sa, 2013-12-01, 2017-07-01, https://viz.measurementlab.net/location/sa?aggr=month&isps=AS22128&start=2012-12-01&end=2017-07-01
26, AS22561, nausmoosceola, 2012-12-01, 2017-09-01, https://viz.measurementlab.net/location/nausmoosceola?aggr=month&isps=AS22561&start=2011-12-01&end=2017-09-01
26, AS25227, eu, 2013-04-01, 2015-12-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS25227&start=2012-04-01&end=2015-12-01
26, AS32584, nacamb, 2013-05-01, 2014-12-01, https://viz.measurementlab.net/location/nacamb?aggr=month&isps=AS32584&start=2012-05-01&end=2014-12-01
26, AS34676, eu, 2012-05-01, 2015-12-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS34676&start=2011-05-01&end=2015-12-01
26, AS34876, as, 2013-09-01, 2017-06-01, https://viz.measurementlab.net/location/as?aggr=month&isps=AS34876&start=2012-09-01&end=2017-06-01
26, AS40660, naca, 2012-09-01, 2017-09-01, https://viz.measurementlab.net/location/naca?aggr=month&isps=AS40660&start=2011-09-01&end=2017-09-01
26, AS42484, euru, 2015-05-01, 2018-01-01, https://viz.measurementlab.net/location/euru?aggr=month&isps=AS42484&start=2014-05-01&end=2018-01-01
26, AS43150, eude, 2012-12-01, 2016-09-01, https://viz.measurementlab.net/location/eude?aggr=month&isps=AS43150&start=2011-12-01&end=2016-09-01
26, AS48537, euro, 2016-09-01, 2019-04-01, https://viz.measurementlab.net/location/euro?aggr=month&isps=AS48537&start=2015-09-01&end=2019-04-01
26, AS50727, eu, 2014-05-01, 2019-01-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS50727&start=2013-05-01&end=2019-01-01
26, AS54063, naustxhouston, 2012-03-01, 2015-02-01, https://viz.measurementlab.net/location/naustxhouston?aggr=month&isps=AS54063&start=2011-03-01&end=2015-02-01
26, AS5588, euro, 2016-09-01, 2019-04-01, https://viz.measurementlab.net/location/euro?aggr=month&isps=AS5588&start=2015-09-01&end=2019-04-01
26, AS59784, euro, 2013-09-01, 2018-02-01, https://viz.measurementlab.net/location/euro?aggr=month&isps=AS59784&start=2012-09-01&end=2018-02-01
26, AS8524, af, 2015-07-01, 2019-02-01, https://viz.measurementlab.net/location/af?aggr=month&isps=AS8524&start=2014-07-01&end=2019-02-01
26, AS9186, eupt14, 2012-11-01, 2015-01-01, https://viz.measurementlab.net/location/eupt14?aggr=month&isps=AS9186&start=2011-11-01&end=2015-01-01
27, AS13367x, nausnjelmer, 2012-11-01, 2016-03-01, https://viz.measurementlab.net/location/nausnjelmer?aggr=month&isps=AS13367x&start=2011-11-01&end=2016-03-01
27, AS16181, euua, 2015-08-01, 2019-02-01, https://viz.measurementlab.net/location/euua?aggr=month&isps=AS16181&start=2014-08-01&end=2019-02-01
27, AS19151, nausga, 2013-01-01, 2015-08-01, https://viz.measurementlab.net/location/nausga?aggr=month&isps=AS19151&start=2012-01-01&end=2015-08-01
27, AS198124, eu, 2015-03-01, 2019-02-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS198124&start=2014-03-01&end=2019-02-01
27, AS198669, eu, 2016-09-01, 2018-09-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS198669&start=2015-09-01&end=2018-09-01
27, AS2518, asjp13amagasaki, 2012-07-01, 2017-05-01, https://viz.measurementlab.net/location/asjp13amagasaki?aggr=month&isps=AS2518&start=2011-07-01&end=2017-05-01
27, AS262429, sabr, 2013-08-01, 2016-09-01, https://viz.measurementlab.net/location/sabr?aggr=month&isps=AS262429&start=2012-08-01&end=2016-09-01
27, AS26674, naus, 2012-04-01, 2014-03-01, https://viz.measurementlab.net/location/naus?aggr=month&isps=AS26674&start=2011-04-01&end=2014-03-01
27, AS28096, sa, 2012-05-01, 2016-05-01, https://viz.measurementlab.net/location/sa?aggr=month&isps=AS28096&start=2011-05-01&end=2016-05-01
27, AS30733, eu, 2014-12-01, 2017-09-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS30733&start=2013-12-01&end=2017-09-01
27, AS31253, as, 2016-03-01, 2018-05-01, https://viz.measurementlab.net/location/as?aggr=month&isps=AS31253&start=2015-03-01&end=2018-05-01
27, AS33038, na, 2013-02-01, 2014-09-01, https://viz.measurementlab.net/location/na?aggr=month&isps=AS33038&start=2012-02-01&end=2014-09-01
27, AS34190, euua12, 2012-12-01, 2016-09-01, https://viz.measurementlab.net/location/euua12?aggr=month&isps=AS34190&start=2011-12-01&end=2016-09-01
27, AS3813, askr11, 2015-07-01, 2017-08-01, https://viz.measurementlab.net/location/askr11?aggr=month&isps=AS3813&start=2014-07-01&end=2017-08-01
27, AS39153, eu, 2013-04-01, 2017-09-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS39153&start=2012-04-01&end=2017-09-01
27, AS394446, naus, 2013-01-01, 2016-01-01, https://viz.measurementlab.net/location/naus?aggr=month&isps=AS394446&start=2012-01-01&end=2016-01-01
27, AS42863, eupt17porto, 2013-05-01, 2017-01-01, https://viz.measurementlab.net/location/eupt17porto?aggr=month&isps=AS42863&start=2012-05-01&end=2017-01-01
27, AS4323, nausidsaintmaries, 2012-09-01, 2018-02-01, https://viz.measurementlab.net/location/nausidsaintmaries?aggr=month&isps=AS4323&start=2011-09-01&end=2018-02-01
27, AS44997, eu, 2016-05-01, 2018-06-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS44997&start=2015-05-01&end=2018-06-01
27, AS4616, ashk, 2013-12-01, 2016-11-01, https://viz.measurementlab.net/location/ashk?aggr=month&isps=AS4616&start=2012-12-01&end=2016-11-01
27, AS49602, eult, 2013-01-01, 2019-03-01, https://viz.measurementlab.net/location/eult?aggr=month&isps=AS49602&start=2012-01-01&end=2019-03-01
27, AS56828, eu, 2013-07-01, 2017-04-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS56828&start=2012-07-01&end=2017-04-01
27, AS577, nacaqcknowlton, 2013-01-01, 2019-02-01, https://viz.measurementlab.net/location/nacaqcknowlton?aggr=month&isps=AS577&start=2012-01-01&end=2019-02-01
27, AS6389, nauskywilliamsburg, 2013-02-01, 2019-03-01, https://viz.measurementlab.net/location/nauskywilliamsburg?aggr=month&isps=AS6389&start=2012-02-01&end=2019-03-01
27, AS8218, eu, 2013-03-01, 2017-05-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS8218&start=2012-03-01&end=2017-05-01
27, AS9286, askr11, 2012-09-01, 2016-11-01, https://viz.measurementlab.net/location/askr11?aggr=month&isps=AS9286&start=2011-09-01&end=2016-11-01
28, AS10774x, naustxsanbenito, 2011-12-01, 2016-07-01, https://viz.measurementlab.net/location/naustxsanbenito?aggr=month&isps=AS10774x&start=2010-12-01&end=2016-07-01
28, AS10796x, nausscgaston, 2012-09-01, 2016-06-01, https://viz.measurementlab.net/location/nausscgaston?aggr=month&isps=AS10796x&start=2011-09-01&end=2016-06-01
28, AS12118, nauswvmorgantown, 2013-12-01, 2015-10-01, https://viz.measurementlab.net/location/nauswvmorgantown?aggr=month&isps=AS12118&start=2012-12-01&end=2015-10-01
28, AS197889, eu, 2013-07-01, 2018-10-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS197889&start=2012-07-01&end=2018-10-01
28, AS199883, eu, 2015-03-01, 2018-05-01, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS199883&start=2014-03-01&end=2018-05-01
28, AS21889, nausfltampa, 2013-08-01, 2015-11-01, https://viz.measurementlab.net/location/nausfltampa?aggr=month&isps=AS21889&start=2012-08-01&end=2015-11-01
28, AS22128, sabr, 2013-11-01, 2017-12-01, https://viz.measurementlab.net/location/sabr?aggr=month&isps=AS22128&start=2012-11-01&end=2017-12-01
28, AS23171, naus, 2014-02-01, 2016-05-01, https://viz.measurementlab.net/location/naus?aggr=month&isps=AS23171&start=2013-02-01&end=2016-05-01
28, AS24320, as, 2012-07-01, 2016-04-01, https://viz.measurementlab.net/location/as?aggr=month&isps=AS24320&start=2011-07-01&end=2016-04-01
28, AS28225, sabr, 2014-03-01, 2017-02-01, https://viz.measurementlab.net/location/sabr?aggr=month&isps=AS28225&start=2013-03-01&end=2017-02-01
